date,species,trap,latitude,longitude,month,day,station,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,sunrise,sunset,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,dz,vcts,mifg,vcfg,ra,fu,hz,ts,bcfg,sq,tsra,gr,sn,br,fg+,fg,tavg_7,tavg_30
2007-05-29,culex pipiens/restuans,T002,41.95469,-87.800991,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex restuans,T002,41.95469,-87.800991,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex restuans,T007,41.994991,-87.769279,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex pipiens/restuans,T015,41.974089,-87.824812,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex restuans,T015,41.974089,-87.824812,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex restuans,T045,41.9216,-87.666455,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex restuans,T046,41.891118,-87.65449100000002,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex pipiens/restuans,T048,41.867108,-87.654224,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex restuans,T048,41.867108,-87.654224,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex restuans,T049,41.896282,-87.655232,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex pipiens/restuans,T050,41.919343,-87.694259,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex pipiens/restuans,T054,41.921965,-87.632085,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex restuans,T054,41.921965,-87.632085,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex pipiens/restuans,T086,41.688324,-87.676709,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex restuans,T086,41.688324,-87.676709,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
2007-05-29,culex restuans,T091,41.862292,-87.64886,5,29,1,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,64.85714285714286,64.8
